make,model,body_style,transmission_clean,drivetrain_clean,seller_type_clean,year,mileage_clean,bids_clean,is_manual,is_rwd,is_private_seller,is_high_mileage,sale_price,sold_status,title,auction_date,location,car_age
Toyota,MR2 Spyder,Convertible,Manual,RWD,Private Party,2000.0,36400.0,20.0,1,1,1,0,10200.0,sold,2000 Toyota MR2 Spyder,"Ended October 31st, 2025 at 2:16 AM","Grand Rapids, MI 49508",26.0
BMW,E46 M3,Coupe,Manual,RWD,Private Party,2004.0,52100.0,17.0,1,1,1,0,36900.0,sold,2004 BMW M3 Coupe,"Ended October 25th, 2025 at 2:38 AM","Hollywood, FL 33021",22.0
Smart,Fortwo,Hatchback,Automatic,RWD,Private Party,2014.0,45000.0,18.0,0,1,1,0,2900.0,sold,2014 Smart ForTwo Electric Drive Passion,"Ended December 17th, 2025 at 3:12 AM","Hereford, AZ 85615",12.0
Porsche,Macan,SUV/Crossover,Automatic,4WD/AWD,Dealer,2017.0,66600.0,52.0,0,0,0,0,24500.0,sold,2017 Porsche Macan S,"Ended October 24th, 2025 at 2:46 AM","Ronkonkoma, NY 11779",9.0
BMW,E46 M3,Coupe,Manual,RWD,Private Party,2004.0,137100.0,22.0,1,1,1,1,15250.0,sold,2004 BMW M3 Coupe,"Ended November 1st, 2025 at 4:03 AM","Madison, WI 53703",22.0
Porsche,987 Boxster,Convertible,Manual,RWD,Private Party,2007.0,103900.0,39.0,1,1,1,1,15850.0,sold,2007 Porsche Boxster,Ended January 10th at 2:50 AM,"Atlanta, GA 30345",19.0
Mercedes-Benz,CLS AMG,Sedan,Automatic,RWD,Private Party,2007.0,86100.0,40.0,0,1,1,0,13700.0,sold,2007 Mercedes-Benz CLS63 AMG,Ended January 15th at 4:46 AM,"Villa Park, CA 92861",19.0
BMW,i3,Hatchback,Automatic,RWD,Private Party,2019.0,42900.0,10.0,0,1,1,0,9500.0,sold,2019 BMW i3 Range Extender,Ended February 14th at 2:58 AM,"Reno, NV 89521",7.0
Ford,Mustang,Convertible,Manual,RWD,Private Party,1992.0,51800.0,45.0,1,1,1,0,17250.0,sold,1992 Ford Mustang LX 5.0 Convertible Summer Edition,Ended February 13th at 4:21 AM,"Nolensville, TN 37135",34.0
Toyota,FJ Cruiser,SUV/Crossover,Automatic,4WD/AWD,Private Party,2008.0,178100.0,33.0,0,0,1,1,10400.0,sold,2008 Toyota FJ Cruiser,"Ended November 14th, 2025 at 4:30 AM","Dover, PA 17315",18.0
Audi,C5 RS6,Sedan,Automatic,4WD/AWD,Private Party,2003.0,110200.0,32.0,0,0,1,1,6700.0,sold,2003 Audi RS6,"Ended November 22nd, 2025 at 4:46 AM","Red Lodge, MT 59068",23.0
